OBJECTID,INDEX_NUM,OBSERVER,SPECIES,SCIENTIFIC,TOWN,ROAD_INTER,SPECIFIC_L,COMMENTS,N_GPS_COOR,W_GPS_COOR,LAND_COVER,LAND_COV2,PROXIMITY_,LIVE_SIGHT,ROADKILL,OTHER,COUNTY_G,PLOTBY_X,PLOTBY_Y,DATE_,HOUR,LAT,LONG
430,431,EAH,White-tailed deer,Odocoileus virginianus,,Rt 66,"Rt 66, S of Rt 43 and S of Co Rd  16/21",,4709885.8,622254.4,Mixed forest,Fields and house,,0,1,0,Rensselaer,622254.4,4709885.8,4/27/2001,1715,42.53169151,-73.5113699
431,432,EAH,Common raccoon,Procyon lotor,,Rt 66,"Rt 66, S of Co Rd 21/16",,4708330.6,622471.8,Open fields,Mixed forest,,0,1,0,Rensselaer,622471.8,4708330.6,4/27/2001,1725,42.51765597,-73.50905664
432,433,EAH,Virginia opossum,Didelphis virginiana,,US 20,US 20 at Rt 66,,4705795,619576,Deciduous forest,Mixed forest,,0,1,0,Rensselaer,619576,4705795,4/27/2001,1730,42.49528123,-73.5448279
433,434,EAH,Common raccoon,Procyon lotor,,US 20,US 20,,4708295.7,612996.6,Mix of open and buildings,Pine-SNH,,0,1,0,Rensselaer,612996.6,4708295.7,4/27/2001,1745,42.51878425,-73.62437874
434,435,EAH,Common muskrat,Ondatra zibethicus,,Rt 150,Rt 150 at US 20,plot on map,4711985.986,608752.8938,Open,Succ shrub,,0,1,0,Rensselaer,608752.8938,4711985.986,4/27/2001,1800,42.55261786,-73.67532582
435,436,EAH,Virginia opossum,Didelphis virginiana,,US 20,"US 20, 1 mile east of Rt 150",plot on map,4710666.763,609617.3331,Open,Succ shrub,,0,1,0,Rensselaer,609617.3331,4710666.763,4/27/2001,1803,42.54061823,-73.66505235
436,437,EAH,Virginia opossum,Didelphis virginiana,,Rt 150,Rt 150 along river,,4712355.4,603026.6,River,Deciduous,,0,1,0,Rensselaer,603026.6,4712355.4,4/27/2001,1810,42.55672894,-73.74499206
437,438,MAD,White-tailed deer,Odocoileus virginianus,,Silver Hollow Rd,"Silver Hollow Rd, near Phoenicia, Chichester",plot on map,4661251.463,557875.699,SNH,Open fields,,1,0,0,Ulster,557875.699,4661251.463,6/2/2001,1900,42.10121804,-74.30005832
438,439,MAD,Eastern cottontail,Sylvilagus floridanus,,Silver Hollow Rd,"Silver Hollow Rd, near Phoenicia, Chichester",plot on map,4661297.221,557924.7233,SNH,open fields,,1,0,0,Ulster,557924.7233,4661297.221,6/2/2001,1900,42.10162651,-74.29946093
439,440,JLB,Red fox,Vulpes vulpes,,Rt 66,Rt 66 in Maiden Bridge,,4702737,616661,SNH,pasture,,1,0,0,Columbia,616661,4702737,6/12/2001,0,42.4681945,-73.58091351
440,441,JLB,Woodchuck,Marmota monax,,Rt 155,"Rt 155 near I-87, airport",,4732071,597661,open fields,wetland-reed,,1,0,0,Albany,597661,4732071,6/12/2001,0,42.73493942,-73.80695075
441,442,EAH,Woodchuck,Marmota monax,,Rt 17,"Rt 17, east of 17K",,4598648.3,548346.3,deciduous,open fields,,0,1,0,Orange,548346.3,4598648.3,6/4/2001,1010,41.53802864,-74.42040614
442,443,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 17K,Rt 17 at Rt 17K,plot on map,4600263.525,547867.8881,,,,0,1,0,Orange,547867.8881,4600263.525,6/4/2001,1010,41.55260563,-74.4260126
443,444,EAH,Red squirrel,Tamiasciurus hudsonicus,,Rt 17,"Rt 17, exit 118",,4596825.4,548782,deciduous,,,0,1,0,Orange,548782,4596825.4,6/4/2001,1020,41.52158345,-74.41533092
444,445,EAH,White-tailed deer,Odocoileus virginianus,,Rt 17,"Rt 17, exit 120",,4594171.9,549756.6,SNH,,,0,1,0,Orange,549756.6,4594171.9,6/4/2001,1025,41.49762354,-74.4038699
445,446,EAH,Virginia opossum,Didelphis virginiana,,Rt 17,"Rt 17, exit 120",,4594171.9,549757.6,SNH,,,0,1,0,Orange,549757.6,4594171.9,6/4/2001,1025,41.49762347,-74.40385792
446,447,EAH,Woodchuck,Marmota monax,,Rt 17,"Rt 17, exit 121",,4588853.9,552516.7,open fields,SNH,,0,1,0,Orange,552516.7,4588853.9,6/4/2001,1030,41.44954842,-74.37126624
447,448,EAH,Common muskrat,Ondatra zibethicus,,Rt 17,"Rt 17, exit 121",,4588853.9,552518,open fields,SNH,,0,1,0,Orange,552518,4588853.9,6/4/2001,1030,41.44954834,-74.37125068
448,449,EAH,Common raccoon,Procyon lotor,,Rt 17,Rt 17,,4583161.1,555179.5,SNH,open fields,,0,1,0,Orange,555179.5,4583161.1,6/4/2001,1040,41.39809488,-74.33990848
449,450,EAH,Red squirrel,Tamiasciurus hudsonicus,,Rt 17,Rt 17,,4583162,555179,SNH,open fields,,0,1,0,Orange,555179,4583162,6/4/2001,1040,41.39810302,-74.33991438
450,451,EAH,Striped skunk,Mephitis mephitis,,Rt 17,Rt 17,,4583162.5,555179.5,SNH,open fields,,0,1,0,Orange,555179.5,4583162.5,6/4/2001,1040,41.39810749,-74.33990836
451,452,EAH,Common muskrat,Ondatra zibethicus,,Rt 17,"Rt 17, exit 122",,4582105.5,557115,"Marsh, phragmites",SNH,~200ft to marsh,0,1,0,Orange,557115,4582105.5,6/4/2001,1045,41.38845196,-74.31685593
452,453,EAH,Woodchuck,Marmota monax,,Rt 17,Rt 17 exit 125,,4580821.9,558798,SNH,mowed open roadside,,0,1,0,Orange,558798,4580821.9,6/4/2001,1055,41.37676936,-74.29685181
453,454,EAH,White-tailed deer,Odocoileus virginianus,,US 6,US 6 eastbound past I-87 near Long mt.,,4573746.7,579435.6,Oak forest,,,0,1,0,Orange,579435.6,4573746.7,6/4/2001,1115,41.31127432,-74.05100672
454,455,EAH,Common muskrat,Ondatra zibethicus,,US 6,US 6 eastbound past I-87 near Long mt.,,4573747,579435.5,Oak forest,,,0,1,0,Orange,579435.5,4573747,6/4/2001,1115,41.31127703,-74.05100788
455,457,EAH,Eastern chipmunk,Tamias striatus,,Rockland Lake State,"Rockland Lake State Park, north parking lot",,4554121.1,590840.7,SNH,Planted deciduous woodlot-red map,,1,0,0,Rockland,590840.7,4554121.1,6/4/2001,1340,41.13331688,-73.91769371
456,458,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rockland Lake State,"Rockland Lake State Park, north parking lot",,4554121.1,590840.7,SNH,Planted deciduous woodlot-red map,,1,0,0,Rockland,590840.7,4554121.1,6/4/2001,1340,41.13331688,-73.91769371
457,459,EAH,Eastern gray squirrel,Sciurus carolinensis,Haverstraw,US 9W,"Us 9W northbound, 3 miles from jct w Rt 303",plot on map,4561059.883,586041.2179,,,,0,1,0,Rockland,586041.2179,4561059.883,6/4/2001,1350,41.19633427,-73.97389283
458,460,EAH,Virginia opossum,Didelphis virginiana,Haverstraw,US 9W,"US 9W north, 3 mi from jct with Rt 303",plot on map,4561088.756,586012.3459,,,,0,1,0,Rockland,586012.3459,4561088.756,6/4/2001,1350,41.19659738,-73.97423304
459,461,EAH,Virginia opossum,Didelphis virginiana,,Rt 202,"Rt 202, just west of Palisades pkwy",,4559759.9,580329.1,Commercial/Built,SNH,,0,1,0,Rockland,580329.1,4559759.9,6/4/2001,1410,41.18521251,-74.04217543
460,462,EAH,Virginia opossum,Didelphis virginiana,,Rt 202,Rt 202 at Co Rd 81,,4558111.2,576589.9,Deciduous,,,0,1,0,Rockland,576589.9,4558111.2,6/4/2001,1415,41.17072512,-74.08696144
461,463,EAH,Virginia opossum,Didelphis virginiana,,Rt 202,Rt 202 at Spook Rock road,,4557221.1,575940,deciduous,,,0,1,0,Rockland,575940,4557221.1,6/4/2001,1420,41.16276927,-74.0948184
462,464,EAH,Common raccoon,Procyon lotor,,Rt 202,"Rt 202 west, 1/2 mi S of Spook Rock Rd",,4554990.1,574431.2,Wooded residential,,,0,1,0,Rockland,574431.2,4554990.1,6/4/2001,1425,41.14281476,-74.11307164
463,465,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 202,"Rt 202 west, just west of the raccoon, # 464",plot- just west of 4554990.1/574431.2,4554959.348,574351.0861,,,,0,1,0,Rockland,574351.0861,4554959.348,6/4/2001,1430,41.14254512,-74.1140299
464,466,EAH,Woodchuck,Marmota monax,,I-87,"I-87, 1/2 mile N of NYS border",plot on map,4547274.292,579600.2145,open field/roadside,,,1,0,0,Rockland,579600.2145,4547274.292,6/5/2001,1100,41.07282908,-74.05248467
465,467,EAH,White-tailed deer,Odocoileus virginianus,,I-87,"I-87, near Exit 16",plot on map,4573359.917,573100.2159,open field/roadside,,,1,0,0,Orange,573100.2159,4573359.917,6/5/2001,1125,41.30838976,-74.12673135
466,468,EAH,Woodchuck,Marmota monax,,Rt 28,"Rt 28 at Rt 212, Mt Tremper",plot on map,4654336.785,559684.0428,Sparse residential,,,1,0,0,Ulster,559684.0428,4654336.785,6/5/2001,1250,42.03881006,-74.27889526
467,469,EAH,Eastern chipmunk,Tamias striatus,,Catskill Park,"Catskill Park, off Rt 42",,4669940.2,549496.4,Sugar Maple forest,,,1,0,0,Greene,549496.4,4669940.2,6/5/2001,1600,42.18004175,-74.40065323
468,470,EAH,Eastern gray squirrel,Sciurus carolinensis,,Catskill Park,Catskill Park off Rt 42,campsite,4669940,549496,Sugar Maple forest,,,1,0,0,Greene,549496,4669940,6/5/2001,1600,42.18003997,-74.40065809
469,471,EAH,White-tailed deer,Odocoileus virginianus,Shandaken,Rt 28,Rt 28 E of Phoenicia,,4655103,559151,Open near road,Deciduous beyond,,0,1,0,Ulster,559151,4655103,6/28/2001,1055,42.0457508,-74.28525768
470,472,EAH,White-tailed deer,Odocoileus virginianus,,Rt 28,Rt 28 at Winne Rd,,4652285,560503,SNH,,,0,1,0,Ulster,560503,4652285,6/28/2001,1115,42.02026933,-74.26921305
471,473,EAH,Woodchuck,Marmota monax,,Rt 214,Rt 214 1/2 way b/w Rt 28 and rt 23A,,4663602,560471,Mowed/open field,Maple woods,,1,0,0,Greene,560471,4663602,6/28/2001,1130,42.12219067,-74.26843009
472,474,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 214,Rt 214,,4666017,565132,Maple forest,,,0,1,0,Greene,565132,4666017,6/28/2001,1145,42.14356586,-74.2117773
473,475,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 23A,"Rt 23A, airport rd",,4681851,549072,Deciduous,Ag field,,1,0,0,Greene,549072,4681851,6/28/2001,1230,42.28733492,-74.4047849
474,476,EAH,Eastern cottontail,Sylvilagus floridanus,,Co Rd 10,Co Rd 10 near West Settlement,,4686434,553399,Shrubby/open,SNH,,0,1,0,Greene,553399,4686434,6/28/2001,1415,42.32832322,-74.35188075
475,477,EAH,Eastern chipmunk,Tamias striatus,,Co Rd 10,Co Rd 10,,4690243,561592,Succ. Shrub/SOF,Woods beyond,,0,1,0,Greene,561592,4690243,6/28/2001,1445,42.36201947,-74.25204108
476,478,EAH,Virginia opossum,Didelphis virginiana,,Co Rd 22,Co Rd 22,,4694114,569579,SNH,,,0,1,0,Greene,569579,4694114,6/28/2001,1445,42.39620445,-74.15459096
477,479,EAH,White-tailed deer,Odocoileus virginianus,,Co Rd 22,Co Rd 22,,4694113,569578,SNH,,,0,1,0,Greene,569578,4694113,6/28/2001,1445,42.39619554,-74.15460323
478,480,EAH,Eastern cottontail,Sylvilagus floridanus,,Co Rd 22,Co Rd 22 or maybe Rt 145?,check road,4693984,570043,Open- fields and lawns,SNH,,0,1,0,Greene,570043,4693984,6/28/2001,1447,42.39499209,-74.14896962
479,481,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 145,"Rt 145, road to Oak Hill",,4693696,571253,Open,,,0,1,0,Greene,571253,4693696,6/28/2001,1450,42.39228857,-74.13430524
480,482,EAH,White-tailed deer,Odocoileus virginianus,,Vinegar Hill WMA,"Vinegar Hill WMA, just off main road",,4677047,549115,"SNH, red maple",S Old Field,,0,0,1,Greene,549115,4677047,6/28/2001,1500,42.24406853,-74.40467056
481,483,EAH,Virginia opossum,Didelphis virginiana,Durham,rt 23,Rt 23,,4685437,576102,Deciduous- SNH,,,0,1,0,Greene,576102,4685437,6/28/2001,1520,42.31745684,-74.07648869
482,484,EAH,Porcupine,Erethizon dorsatum,,Rt 23,Rt 23,,4685797,575335,Deciduous- oaky but young,SNH?,,0,1,0,Greene,575335,4685797,6/28/2001,1525,42.32077322,-74.08574828
483,485,EAH,Eastern cottontail,Sylvilagus floridanus,Windham,Co Rd 21,"Co Rd 21, S of Rt 23",,4688061,562029,SOF,"Shrubby, some scattered Decid and",,0,1,0,Greene,562029,4688061,6/28/2001,1545,42.3423351,-74.2469693
484,486,EAH,Virginia opossum,Didelphis virginiana,,Rt 23A,Rt 23A just W of Rt 214,,4671428,568296,open,deciduous,,0,1,0,Greene,568296,4671428,6/29/2001,835,42.192025,-74.17285598
485,487,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 23A,Rt 23A E of Rt 214 and Bloomer Rd,,4671448,569222,SNH,"open- house, motel",,0,1,0,Greene,569222,4671448,6/29/2001,840,42.1921237,-74.16163982
486,488,EAH,Eastern chipmunk,Tamias striatus,,Rt 23A,"Rt 23A, Tannersville",,4671794,570801,Suburban/small town,,,0,1,0,Greene,570801,4671794,6/29/2001,850,42.19509821,-74.14247619
487,489,EAH,Common raccoon,Procyon lotor,,Rt 23A,Rt 23A at Rt 32,,4671545,583584,Deciduous-Maple,decid- SNH,,0,1,0,Greene,583584,4671545,6/29/2001,930,42.19159426,-73.98770914
488,490,EAH,Eastern chipmunk,Tamias striatus,,Rt 32,Rt 32 just N of Rt 23A,,4672972,583871,Decid- maple,some houses,,0,1,0,Greene,583871,4672972,6/29/2001,930,42.20441359,-73.98402796
489,491,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 32,Rt 32,,4674062,583696,Sparse residential,deciduous woodlands,,0,1,0,Greene,583696,4674062,6/29/2001,940,42.21424771,-73.98599051
490,492,EAH,Common raccoon,Procyon lotor,,Rt 32,Rt 32,,4678015,584309,Maple forest,"Mix of SNh, house and a diner",,0,1,0,Greene,584309,4678015,6/29/2001,950,42.24977806,-73.97799076
491,493,EAH,Striped skunk,Mephitis mephitis,Greenville,Rt 32,Rt 32 just N of Greenville town line,,4689209,578561,Open,SNH,,0,1,0,Greene,578561,4689209,6/29/2001,1005,42.3511791,-74.04613905
492,494,EAH,Striped skunk,Mephitis mephitis,,Rt 32,Rt 32 N of Freehold,,4692776,579650,SNH and Open,some buildings,,0,1,0,Greene,579650,4692776,6/29/2001,1015,42.38318848,-74.03242576
493,495,EAH,Virginia opossum,Didelphis virginiana,,Rt 32,Rt 32,,4694101,579899,SNH and Open,a house,,0,1,0,Greene,579899,4694101,6/29/2001,1025,42.39509422,-74.02921752
494,496,EAH,Common raccoon,Procyon lotor,,Rt 32,Rt 32,,4694102,579898,SNH and open,a house,,0,1,0,Greene,579898,4694102,6/29/2001,1025,42.39510333,-74.02922953
495,497,EAH,Common raccoon,Procyon lotor,,Rt 81,"Rt 81 W of Rt 32, Greenville",,4695948,577090,Deciduous- SNH,,,0,1,0,Greene,577090,4695948,6/29/2001,1040,42.41201004,-74.06309525
496,498,EAH,White-tailed deer,Odocoileus virginianus,,Rt 81,Rt 81,,4694843,574368,Ag,Pine Plantation/SNH,,0,1,0,Greene,574368,4694843,6/29/2001,1050,42.4023252,-74.09631555
497,499,EAH/JLB,Woodchuck,Marmota monax,,Co Rd 67,Co Rd 67,,4692021,575819,Deciduous-Maple,Open beyond,,0,1,0,Greene,575819,4692021,6/29/2001,1100,42.37677308,-74.07905746
498,500,EAH,Woodchuck,Marmota monax,,Co Rd 67,"Co Rd 67, just E of 67A",juvenile,4690796,576700,Maple-Oak forest,Open- tree farm,,0,1,0,Greene,576700,4690796,6/29/2001,1105,42.36565563,-74.06852069
499,501,EAH,White-tailed deer,Odocoileus virginianus,,Co Rd 67,"Co Rd 67, just e of 67A",,4690795,576701,Maple-Oak forest,Open-tree farm,,1,0,0,Greene,576701,4690795,6/29/2001,1105,42.36564653,-74.06850868
500,502,EAH,Common raccoon,Procyon lotor,,Co Rd 67,Co Rd 67 at Big Woods Rd,,4690314,577902,Deciduous- somewhat successi,,,0,1,0,Greene,577902,4690314,6/29/2001,1110,42.36119577,-74.0539901
501,503,EAH,Virginia opossum,Didelphis virginiana,,Co Rd 26,Co Rd 26,,4696289,583750,SNH- black locust,Open,,0,1,0,Greene,583750,4696289,6/29/2001,1130,42.41439057,-73.98211594
502,504,EAH,Eastern cottontail,Sylvilagus floridanus,,Co Rd 26,Co Rd 26,,4696285,584091,Open- OF/shrubby,starting to be SNH,,0,1,0,Greene,584091,4696285,6/29/2001,1131,42.41431768,-73.9779727
503,505,EAH,Woodchuck,Marmota monax,,Co Rd 26,Co Rd 26,,4696271,585683,OF,"House, mowed area",,1,0,0,Greene,585683,4696271,6/29/2001,1135,42.41401749,-73.95862897
504,506,EAH,Red squirrel,Tamiasciurus hudsonicus,,Rt 144,Rt 144,,4699054,598816,Hemlock-NH,Deciduous,,0,1,0,Greene,598816,4699054,6/29/2001,1250,42.43751475,-73.79856694
505,507,EAH,Eastern gray squirrel,Sciurus carolinensis,,Co Rd 61,"Co Rd 61, N of W Coxsackie",,4694620,598748,OF,some scattered decid,,0,1,0,Greene,598748,4694620,6/29/2001,1310,42.39759954,-73.80015498
506,508,EAH,Eastern chipmunk,Tamias striatus,,Co Rd 61,Co Rd 61,,4692293,597874,Open- OF/lawn,SNH,,0,1,0,Greene,597874,4692293,6/29/2001,1315,42.37675761,-73.81116782
507,509,EAH,Eastern gray squirrel,Sciurus carolinensis,,Co Rd 45,Co Rd 45,,4687955,588250,Planted Pines,SNH,,1,0,0,Greene,588250,4687955,6/29/2001,1400,42.33884847,-73.92870912
508,510,EAH,Eastern gray squirrel,Sciurus carolinensis,,Sandy Plains Rd,Sandy Plains Rd just N of S Cairo,,4681404,587651,Sparse wooded residential,deciduous-y,,0,1,0,Greene,587651,4681404,6/29/2001,1410,42.27992687,-73.93697245
509,511,EAH,Eastern cottontail,Sylvilagus floridanus,,Schoharie Tpk,"Schoharie Turnpike, E of Gayhead",,4686960,588453,SNH,Open/field beyond,,0,1,0,Greene,588453,4686960,6/29/2001,1430,42.32986589,-73.92639768
510,512,EAH,Striped skunk,Mephitis mephitis,,Schoharie Tpk,Schoharie Turnpike,,4685352,592005,Deciduous- SNH,Lake with shrubs at edge,,0,1,0,Greene,592005,4685352,6/29/2001,1435,42.31497501,-73.88354896
511,513,EAH,Eastern cottontail,Sylvilagus floridanus,,,,,4683710,593580,Residential,SNH,,0,1,0,Greene,593580,4683710,6/29/2001,1445,42.30000212,-73.86470618
512,514,EAH,Eastern gray squirrel,Sciurus carolinensis,,Co Rd 9,Co Rd near US 9W,,4689202,595357,open/large loosestrife patch,SNH beyond,,1,0,0,Greene,595357,4689202,6/29/2001,1500,42.34923838,-73.84224574
513,515,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 385,"Rt 385, Coxsackie",,4689966,598166,small town,suburban,,0,1,0,Greene,598166,4689966,6/29/2001,1531,42.35576815,-73.80801799
514,516,EAH,Virginia opossum,Didelphis virginiana,,Rt 385,Rt 385,,4687415,599262,Deciduous woods,open fields and house,,0,1,0,Greene,599262,4687415,6/29/2001,1535,42.33265951,-73.79515136
515,517,EAH,Virginia opossum,Didelphis virginiana,,Rt 385,Rt 385 near Coxsackie/Athens border,,4684101,599314,SNH,open,,0,1,0,Greene,599314,4684101,6/29/2001,1545,42.30281305,-73.7950898
516,518,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 385,"Rt 385, Athens village",,4679822,598445,Suburban,scattered SNH woods,,0,1,0,Greene,598445,4679822,6/29/2001,1549,42.2643941,-73.80635817
517,519,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 385,Rt 385,,4676685,594316,Residential,"Mixed- Pines, beyond",,0,1,0,Greene,594316,4676685,6/29/2001,1600,42.23665714,-73.85692245
518,520,EAH,Common raccoon,Procyon lotor,,Rt 23A,Rt 23A,,4672570,588391,Mowed/old field,sparse trees along road and beyon,,0,1,0,Greene,588391,4672570,6/29/2001,1630,42.20029571,-73.92934505
519,521,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9W,"US 9W, Saugerties",,4659123,586953,suburban/park,,,1,0,0,Ulster,586953,4659123,6/29/2001,1700,42.07936771,-73.94876523
520,522,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9W,"US 9W, N of Kingston",,4644715,583644,"SNH, edge of urban area",,,0,1,0,Ulster,583644,4644715,6/29/2001,1730,41.94997965,-73.99081732
521,523,EAH,Common raccoon,Procyon lotor,,US 9W,US 9W at Rt 32,,4643835,583903,Built/developed,SNH,,0,1,0,Ulster,583903,4643835,6/29/2001,1740,41.94202744,-73.98781827
522,524,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9W,US 9W,,4639488,585046,Suburban,very residential,,0,1,0,Ulster,585046,4639488,6/29/2001,1745,41.90275883,-73.97465854
523,525,EAH,Striped skunk,Mephitis mephitis,,US 9W,US 9W,,4638875,585100,urban/built,,,0,1,0,Ulster,585100,4638875,6/29/2001,1750,41.89723272,-73.97409597
524,526,EAH,Virginia opossum,Didelphis virginiana,,US 9W,US 9W S of Port Ewen,,4637324,584909,SNH,open beyond,,0,1,0,Ulster,584909,4637324,6/29/2001,1755,41.88328589,-73.97662116
525,527,EAH,Woodchuck,Marmota monax,,US 9W,US 9W S of Port Ewen,,4637325,584909,SNH,open beyond,,0,1,0,Ulster,584909,4637325,6/29/2001,1755,41.88329489,-73.97662101
526,528,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9W,US 9W S of Port Ewen,,4637326,584910,SNH,open beyond,,0,1,0,Ulster,584910,4637326,6/29/2001,1755,41.88330379,-73.97660882
527,529,EAH,Long-tailed weasel,Mustela frenata,,US 9W,US 9W,"Hind legs dark, Dark tip on tail",4634858,585353,SNH,a few oaks in the SNH,,0,1,0,Ulster,585353,4634858,6/29/2001,1800,41.86103073,-73.97162666
528,530,EAH,Woodchuck,Marmota monax,,US 9W,US 9W,1/4mi south of weasel #529,4634687.005,585358.0025,,,,0,1,0,Ulster,585358.0025,4634687.005,6/29/2001,1805,41.8594903,-73.97159107
529,531,EAH,Virginia opossum,Didelphis virginiana,,US 9W,US 9W,1/4 mi south of weasel # 529,4634660.151,585376.5931,,,,0,1,0,Ulster,585376.5931,4634660.151,6/29/2001,1805,41.85924647,-73.971371
530,532,EAH,Virginia opossum,Didelphis virginiana,,US 9W,US 9W,,4633780,585599,Sparse residential,,,0,1,0,Ulster,585599,4633780,6/29/2001,1815,41.8512963,-73.96881917
531,533,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9W,US 9W,,4633409,585597,Sparse residential,open/some scattered decid,,0,1,0,Ulster,585597,4633409,6/29/2001,1820,41.84795549,-73.96889692
532,534,EAH,Common raccoon,Procyon lotor,,US 9W,US 9W,,4628848,586431,Maple forest,SNH,,0,1,0,Ulster,586431,4628848,6/29/2001,1825,41.80679101,-73.95951747
533,535,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9W,US 9W,,4624623,586404,SNH,,,0,1,0,Ulster,586404,4624623,6/29/2001,1830,41.76874565,-73.96045736
534,536,EAH,Virginia opossum,Didelphis virginiana,,US 9W,"US 9W, S of Rt 299, New Paltz",,4616183,586106,SNH,,,0,1,0,Ulster,586106,4616183,6/29/2001,1844,41.69277062,-73.96526268
535,537,EAH,Common raccoon,Procyon lotor,,US 9W,"US 9W, S of Rt 299, New Paltz",,4616185,586106,SNH,,,0,1,0,Ulster,586106,4616185,6/29/2001,1844,41.69278863,-73.9652624
536,538,EAH,Virginia opossum,Didelphis virginiana,,US 9W,US 9W,,4610243,586397,OF/shrubby,some SNH and houses,,0,1,0,Ulster,586397,4610243,6/29/2001,1850,41.63924515,-73.96262541
537,539,EAH,Common raccoon,Procyon lotor,,US 9W,US 9W,,4605712,585511,SNH,,,0,1,0,Ulster,585511,4605712,6/29/2001,1900,41.59853529,-73.9739091
538,540,EAH,Woodchuck,Marmota monax,,US 9W,US 9W,,4604658,584885,Orchard,Right-of-way and SNH,,0,1,0,Ulster,584885,4604658,6/29/2001,1910,41.58910988,-73.98156888
539,541,EAH,Striped skunk,Mephitis mephitis,Newburgh,US 9W,US 9W,,4602321,583798,SNH,Open,,0,1,0,Orange,583798,4602321,6/29/2001,1915,41.56817778,-73.99493492
540,542,EAH,Striped skunk,Mephitis mephitis,,US 9W,"US 9W, Middlehope",,4600375,582935,developed/built,open/SNH,,0,1,0,Orange,582935,4600375,6/29/2001,1918,41.5507421,-74.00555288
541,543,EAH,Common raccoon,Procyon lotor,,US 9W,US 9W,,4598724,582224,urban/built,residential,,0,1,0,Orange,582224,4598724,6/29/2001,1922,41.53594652,-74.01430289
542,544,EAH,Striped skunk,Mephitis mephitis,,I-87,I-87/287 by 9W and Tappan Zee,traffic jams are good for road surveys,4549073,590143,suburban,some trees along highway,,0,1,0,Rockland,590143,4549073,6/30/2001,1351,41.08792906,-73.92674567
543,545,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9,US 9 N of Philips Manor and Rt 117,,4552783,595659,deciduous,suburban,,0,1,0,Westchester,595659,4552783,6/30/2001,1420,41.12071202,-73.860506
544,546,EAH,Striped skunk,Mephitis mephitis,,US 9,"US 9, Scarborough, S of Ossining border",,4554992,595533,deciduous,wooded residential,,0,1,0,Westchester,595533,4554992,6/30/2001,1425,41.14062167,-73.86166277
545,547,EAH,Common raccoon,Procyon lotor,,US 9,"US 9, Scarborough, S of Ossining",,4554993,595532,deciduous,wooded residential,,0,1,0,Westchester,595532,4554993,6/30/2001,1425,41.14063079,-73.86167453
546,548,EAH,Woodchuck,Marmota monax,,US 9,"US 9/ Rt 9A, Croton-on-Hudson",,4561027,593609,SNH,mowed roadside,,0,1,0,Westchester,593609,4561027,6/30/2001,1455,41.19519872,-73.88366202
547,549,EAH,Woodchuck,Marmota monax,,US 9,US 9,,4564037,591199,SNH,,,0,1,0,Westchester,591199,4564037,6/30/2001,1505,41.22258261,-73.91194849
548,550,EAH,Woodchuck,Marmota monax,,US 9,US 9,,4568269,589562,SNH,,,0,1,0,Westchester,589562,4568269,6/30/2001,1515,41.26088009,-73.9308544
549,551,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9,US 9,,4575791,589883,deciduous,,,0,1,0,Putnam,589883,4575791,6/30/2001,1520,41.32858903,-73.92591229
550,552,EAH,Common raccoon,Procyon lotor,,US 9,US 9,,4579531,590564,SNH,,,0,1,0,Putnam,590564,4579531,6/30/2001,1530,41.36219557,-73.91721792
551,553,EAH,Virginia opossum,Didelphis virginiana,,US 9,US 9,,4583692,590620,Deciduous- young oaks,,,0,1,0,Putnam,590620,4583692,6/30/2001,1540,41.39966334,-73.91592629
552,554,EAH,Woodchuck,Marmota monax,,US 9,US 9,,4595218,591712,"SNH- locust, juglans",built,,1,0,0,Dutchess,591712,4595218,6/30/2001,1600,41.50334123,-73.90111462
553,555,EAH,Striped skunk,Mephitis mephitis,,US 9,US 9,,4595768,592104,"successional- locust, sycamo",,,0,1,0,Dutchess,592104,4595768,6/30/2001,1600,41.50824943,-73.89633442
554,556,EAH,Common raccoon,Procyon lotor,,US 9,US 9 near Co Rd 93 (?),,4604304,591031,built,patches of decid-SNH,,0,1,0,Dutchess,591031,4604304,6/30/2001,1620,41.58524511,-73.90789674
555,557,EAH,Woodchuck,Marmota monax,,US 9,"US 9, S of Poughkeepsie",,4616444,588454,built,"some trees, some mowed",,0,1,0,Dutchess,588454,4616444,6/30/2001,1640,41.69486359,-73.93701264
